Date Time,MW,Mvar,EXC CURRENT,TEMP CG D/STR CLR,TEMP STR SLOT TE,TEMP STR SLOT TE,PRES AMBIENT AIR,MEDIAN GEN CURRENT,F STR WTR D/STR BSHG U1,GEN VOLTAGE L1-L2
9/23/2021 2:16:00 AM,563.9063,72.1051,3320.674,43.90001,69.10001,69.10001,1003.537,15.68663,3.25524,20.87041
9/23/2021 2:17:00 AM,555.3646,76.23187,3305.121,43.90001,69.10001,69.10001,1003.537,15.40104,3.25524,20.87041
9/23/2021 2:18:00 AM,574.4791,88.56683,3390.842,43.8,69.10001,69.10001,1003.537,15.9401,3.25524,20.94455
9/23/2021 2:19:00 AM,582.7604,88.56683,3438.223,43.8,69.10001,69.10001,1003.537,16.1658,3.25524,20.94455
9/23/2021 2:20:00 AM,559.6875,88.83893,3367.332,43.8,69.10001,69.10001,1003.537,15.48872,3.25524,20.94455
9/23/2021 2:21:00 AM,567.8646,89.02032,3382.885,43.8,69.10001,69.10001,1003.472,15.77517,3.25524,20.94455
9/23/2021 2:22:00 AM,577.1875,88.15869,3410.735,43.7,69.10001,69.10001,1003.472,15.89931,3.27441,20.94455
9/23/2021 2:23:00 AM,582.7604,83.39703,3410.735,43.7,69.10001,69.10001,1003.472,16.1684,3.249815,20.94455
9/23/2021 2:24:00 AM,587.2396,79.17957,3428.819,43.7,69.10001,69.10001,1003.472,16.25608,3.245234,20.94455
9/23/2021 2:25:00 AM,582.8125,83.80518,3411.82,43.7,69.10001,69.10001,1003.472,16.20313,3.260425,20.90748
9/23/2021 2:26:00 AM,567.9688,72.05975,3323.206,43.7,69.10001,69.10001,1003.472,15.75694,3.249212,20.90748
9/23/2021 2:27:00 AM,572.1875,77.86444,3360.822,43.7,68.89999,68.89999,1003.472,15.93403,3.249212,20.90748
9/23/2021 2:28:00 AM,567.0833,73.96442,3326.823,43.7,68.89999,68.89999,1003.472,15.70399,3.266814,20.87041
9/23/2021 2:29:00 AM,545.8333,74.41791,3290.654,43.7,68.89999,68.89999,1003.472,15.15799,3.245957,20.87041
9/23/2021 2:30:00 AM,551.7708,74.19116,3266.421,43.60001,68.89999,68.89999,1003.385,15.17014,3.253673,20.87041
9/23/2021 2:31:00 AM,536.4063,64.66785,3190.827,43.60001,68.89999,68.89999,1003.385,14.84983,3.253673,20.87041
9/23/2021 2:32:00 AM,520.8333,64.48645,3137.659,43.60001,68.89999,68.89999,1003.385,14.47569,3.253673,20.87041
9/23/2021 2:33:00 AM,522.1875,75.18884,3171.296,43.5,68.60001,68.60001,1003.385,14.42274,3.253673,20.87041
9/23/2021 2:34:00 AM,521.9791,84.44006,3202.763,43.5,68.60001,68.60001,1003.385,14.4401,3.253673,20.92556
