 ,10MKC01DE502XQ01,10MBY10CE901XQ01,10MKG18FP001ZQ01,10MKW31CP901XQ01,10MKW31CP902XQ01,10MKW31CP903XQ01,10MKG31CQ001AZQ01,10MKG32CQ001AZQ01
,REACTIVE POWER,ACTIVE POWER,PRES H2 GEN CASING,DIFFPRES SEAL OIL/H2,DIFFPRES SEAL OIL/H2,DIFFPRES SEAL OIL/H2,PURITY H2 ANALYZER 1,PURITY H2 ANALYZER 2
Date Time,Mvar,MW,bar,bar,bar,bar,% H2,% H2
9/5/2021 2:02:00 AM,-43.44446,624.3229,4.037434,1.170758,1.174014,1.17329,96.36791,96.2377
9/5/2021 2:03:00 AM,-45.93866,622.7083,4.036469,1.17329,1.174014,1.174375,96.36791,96.2377
9/5/2021 2:04:00 AM,-36.77814,623.8021,4.036469,1.17329,1.169312,1.17546,96.36791,96.2377
9/5/2021 2:05:00 AM,-28.88739,623.2291,4.036469,1.170035,1.169312,1.167141,96.36791,96.2377
9/5/2021 2:06:00 AM,-55.64337,623.8021,4.036469,1.17546,1.174375,1.175098,96.36791,96.2377
9/5/2021 2:07:00 AM,-67.38879,623.2813,4.036469,1.17546,1.174375,1.173652,96.36791,96.2377
9/5/2021 2:08:00 AM,-19.54547,614.2188,4.036469,1.16895,1.174375,1.170035,96.36791,96.2377
9/5/2021 2:09:00 AM,0,618.4375,4.036469,1.16895,1.172205,1.175822,96.36791,96.2377
9/5/2021 2:10:00 AM,4.308167,622.2396,4.036469,1.173652,1.174736,1.175822,96.36791,96.2377
9/5/2021 2:11:00 AM,10.3396,622.2396,4.036469,1.174375,1.16678,1.175822,96.36646,96.2377
9/5/2021 2:12:00 AM,12.15356,622.7604,4.036469,1.166057,1.171482,1.175822,96.36646,96.2377
9/5/2021 2:13:00 AM,-16.77917,623.3333,4.036469,1.175822,1.174013,1.178353,96.36646,96.2377
9/5/2021 2:14:00 AM,-22.03967,619.5833,4.036469,1.168226,1.174013,1.17329,96.36646,96.2377
9/5/2021 2:15:00 AM,-15.4187,618.0729,4.036469,1.171482,1.170035,1.178715,96.36646,96.2377
9/5/2021 2:16:00 AM,-13.46869,623.9583,4.036469,1.173652,1.17329,1.176907,96.36646,96.2377
